Province,Province_ID
Cần Thơ,1
Hà Nam,2
Bạc Liêu,3
Bình Thuận,4
Hải Dương,5
Hồ Chí Minh,6
Bắc Kạn,7
Tuyên Quang,8
Vĩnh Phúc,9
Sơn La,10
Thừa Thiên Huế,11
Hưng Yên,12
Hậu Giang,13
Đắk Nông,14
Bắc Giang,15
Kon Tum,16
Phú Thọ,17
Hải Phòng,18
Đồng Nai,19
Yên Bái,20
Bình Phước,21
Cà Mau,22
Lâm Đồng,23
Điện Biên,24
Bình Định,25
Lai Châu,26
Ninh Bình,27
Hà Nội,28
Đà Nẵng,29
Quảng Bình,30
Tiền Giang,31
Quảng Nam,32
Long An,33
Hòa Bình,34
Bình Dương,35
Hà Giang,36
Phú Yên,37
Bà Rịa - Vũng Tàu,38
Vĩnh Long,39
Bắc Ninh,40
Cao Bằng,41
Bến Tre,42
Kiên Giang,43
Lạng Sơn,44
Quảng Trị,45
Gia Lai,46
An Giang,47
Nam Định,48
Thái Bình,49
Tây Ninh,50
Thái Nguyên,51
Sóc Trăng,52
Thanh Hóa,53
Đắk Lắk,54
Quảng Ninh,55
Khánh Hòa,56
Lào Cai,57
Hà Tĩnh,58
Đồng Tháp,59
Nghệ An,60
Quảng Ngãi,61
Ninh Thuận,62
Trà Vinh,63
